Classname,Code,Credits,Length,Prereq
Coding 1 A,D77,5,1,N/A
AP Computer Science A,D78,10,2,N/A
Cybersecurity,D79,5,1,N/A
Web Designing Foundations,D87,5,1,N/A
AP Computer Science Principles,D93/D94,10,2,N/A
